ID,anteriorcoronaradiata,anteriorlimbofinternalcapsule,bodyofcorpuscallosum,corticospinaltract,externalcapsule,fornixcres.striaterminalis,fornix,genuofcorpuscallosum,posteriorcoronaradiata,posteriorlimbofinternalcapsule,posteriorthalamicradiation,retrolenticularpartofinternalcapsule,sagittalstratum,spleniumofcorpuscallosum,superiorcoronaradiata,superiorfronto.occipitalfasciculus,superiorlongitudinalfasciculus,uncinatefasciculus,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,transversetemporal,accumbens,amygdala,caudate,hippocampus,pallidum,putamen,thalamus,ventricularcerebrospinalfluid
160830,1.597,0.314881,0.539773,-1.28264,-0.309878,1.28808,-0.138641,0.748145,0.809459,1.49475,-1.16197,2.34531,0.138641,-0.21124,0.88803,1.64118,-0.138641,-1.3934,-1.06814,1.06417,0.678733,-0.736543,-0.226945,1.359,-0.192441,-0.320415,0.687257,-1.26335,-1.69663,0.0698102,-0.280395,-1.88636,1.23875,0.642349,-1.02915,-0.593327,0.296816,0.736543,1.02153,0.540476,-0.69583,0.509484,0.092386,-0.411875,1.35335,1.68722,1.07613,-0.860366,-0.883401,-0.661832,-2.23933,2.33109,0.315682,1.15582,0.37299,1.68722,0.906914,0.299168,1.35335
160931,-0.923948,-0.0357485,-1.50947,-0.312379,0.726258,1.96487,0.203937,-1.36867,-0.653696,-0.78005,0.773607,0.786527,2.07461,-1.25597,-0.496174,0.12182,-0.980182,-0.704713,0.426616,0.443932,-0.348973,-0.527501,-0.803124,0.414326,-0.803124,-0.754368,-1.34775,-0.593327,-0.977047,-0.730653,-0.876772,-0.553542,-1.23875,-0.850633,-0.481499,-0.0292557,-0.414326,-0.866901,0.473933,-0.606797,-0.948434,-0.496716,-0.126342,-0.363358,0.063045,-0.217719,-0.402098,-0.653452,-0.930939,-1.10468,-1.06417,-0.548304,0.348973,0.716038,-1.03682,0.446417,0.344194,0.466394,-0.913724
161327,-1.96487,-1.28808,-2.1901,-0.87398,-2.27654,-2.07461,-1.19052,-1.31024,-2.47542,-0.618688,-1.76273,-0.836201,-2.47542,-2.1646,-2.42736,-2.27654,-2.07461,-3.10526,-1.64225,0.155887,-1.68722,-1.16908,-1.14708,-1.21487,-1.26335,-1.71592,-1.71592,-0.896776,-0.320415,-2.14048,-1.01775,-0.707342,0.322785,-2.4958,-1.55357,-0.569348,-1.57654,-0.266381,-1.60038,-0.322785,-1.74612,-0.966225,-1.52416,-1.91373,0.315682,-1.113,-1.75655,-1.9892,-1.113,-1.48916,-1.89987,0.0743222,0.416779,0.229254,0.282737,-1.4058,0.675903,0.478974,0.6987
161630,-0.895121,0.390973,-0.12182,-0.383268,-1.39972,0.0858836,-0.735595,-1.29908,0.114621,0.615806,0.537019,0.287455,0.277536,-0.102637,0.304882,0.347605,0.230774,-0.81609,-1.68722,0.171851,-0.254741,-1.05627,-0.991658,-1.0842,-1.95767,-0.98068,-0.124074,-0.736543,1.21017,-0.566704,-1.61679,-1.91373,-0.18328,-1.15582,-1.17804,-1.02915,-1.65098,-1.8003,-1.9892,-0.571996,0.0337581,-0.84098,-0.673078,-0.815613,0.736543,-0.880082,-0.903524,-0.280395,-1.71592,-0.873472,-1.15144,-0.185569,-0.37299,-1.56879,-0.512048,-1.69663,-2.4958,-0.358555,1.15144
161731,-1.9487,-1.597,-1.50207,-0.429856,-0.550832,-0.245481,0.314881,-1.16666,-1.07725,-0.612928,-0.403865,-0.91667,-0.496174,-0.240573,-1.55573,-1.11195,-1.47325,-1.70899,-1.42417,0.224636,0.701575,-0.0270047,0.287423,0.443932,0.486559,0.458881,-0.12861,-0.606797,0.44145,0.0991674,0.587969,0.0180019,-1.41799,-0.101429,-0.203915,-0.0810929,0.486559,0.360955,-0.0270047,-0.103691,0.424153,1.19625,0.524917,-0.512048,-0.337041,0.642349,1.21959,-0.0450175,-0.160444,0.571996,1.81179,-0.818755,-0.812479,-0.903524,-0.318048,0.973427,-0.0202524,-1.05235,-0.796927
161832,-0.00714824,0.976337,-0.641939,-2.47542,0.136236,0.45614,-0.0333644,-0.243027,-0.0166799,0.472063,-0.748145,-0.429856,-0.506982,-0.764001,-0.143454,0.0381329,-0.512409,0.698618,0.707342,1.58439,0.687257,0.421692,1.69663,-0.893417,1.27341,0.489093,0.463887,1.57654,-0.634074,0.530089,0.667444,2.21253,-1.22434,0.466394,1.54609,0.247775,0.133149,0.26405,0.601396,0.325156,1.32576,1.88636,1.78904,1.89987,1.64225,0.327529,1.14708,1.89987,-0.0112508,1.27341,-0.392358,-0.194734,-0.653452,-1.34219,-0.917145,-0.98068,-2.61294,-0.959072,0.0427652
162026,-0.319893,-0.587252,0.167572,-0.639014,-0.81609,-0.539773,-0.0357485,0.757636,-0.105033,-0.409041,-0.230774,0.490791,-0.411633,0.598615,-0.946083,-0.920303,-0.277536,-1.14345,0.606797,0.406982,0.766385,0.0652997,0.506924,0.870182,-0.303878,-0.543082,0.499263,0.653452,0.292117,0.0337581,1.26335,0.593327,0.247775,1.01775,-0.322785,0.151333,0.389929,1.02153,0.745426,0.0810929,-0.707342,0.23619,0.769407,0.229254,1.68722,0.930939,1.39978,-0.208512,-0.481499,0.0652997,-0.860366,0.910314,-0.101429,-0.850633,0.348973,-0.222329,0.313317,-0.999043,0.358555
162228,1.35661,2.27654,1.36262,-0.63318,0.863554,1.68882,0.422029,2.24583,-1.23527,0.839586,-1.3273,0.373031,-0.124221,-0.793036,0.327426,1.52453,-1.19538,1.04792,1.82353,1.02915,1.59233,1.14275,-0.11048,0.617653,1.32576,0.112744,0.745426,-0.571996,0.540476,0.0517758,-0.0067504,0.614932,0.0765787,0.590646,0.966225,0.380236,-0.716038,0.294466,0.00450025,0.072066,1.10468,2.29831,0.6987,0.0315068,0.144509,0.310955,0.192441,0.678733,0.0675548,-0.160444,-1.22911,-0.229254,1.68722,0.558795,0.0247538,-1.17355,-0.987985,0.174135,-0.545691
162329,0.720068,-0.355208,1.05205,0.0978477,0.15068,-0.934958,0.409041,0.496174,1.33888,-0.482744,0.867019,-0.590086,0.145862,0.710835,0.235671,-0.27506,0.019063,1.83477,0.566704,-0.429082,-0.713134,0.0315068,0.818755,-0.634074,-1.88636,1.07213,-0.346583,-0.585297,-0.0067504,0.0247538,-1.01022,-0.392358,-1.89987,-0.821905,-0.494172,-0.0315068,-0.365763,-0.404538,-0.803124,0.115009,1.01775,-0.436495,-0.446417,-0.229254,-0.530089,-0.23619,-1.2485,0.84098,-1.74612,0.306235,-0.517185,-1.30439,-0.903524,-0.834588,0.167285,-0.853869,-1.39381,-0.0135011,-0.231565
162733,-0.393546,0.184512,0.469401,-0.590086,-0.289939,-1.78572,-0.867019,0.299893,0.145862,-0.884501,-0.131427,-1.17613,-0.604325,0.905843,-0.378145,-0.512409,0.786527,-0.668519,1.1214,0.667444,0.0427652,1.3762,-1.08826,-1.22434,-0.0135011,0.0180019,-0.0112508,1.00276,-0.564063,-0.192441,0.327529,1.28875,-0.351365,-0.322785,0.84098,0.593327,-1.81179,-1.73588,-1.52416,1.12563,0.499263,0.00450025,0.504367,1.1214,0.857113,-1.17355,-0.126342,0.896776,-0.535275,0.130879,-0.375403,-0.784622,-0.504367,-1.09234,-0.399659,-1.48237,-0.984326,-1.7062,-0.370578
